BVC;CANACOL;ISA;GRUBOLIVAR;PFDAVVNDA;ECOPETROL;PFBCOLOM;BCOLOMBIA;COLCAP
21;25300;8600;45120;27100;1955;28480;27640;1484
19;23000;7930;45120;25840;1815;27820;27260;1419
19;20875;7850;45120;26300;1835;28180;27460;1420
20;22275;7920;45120;26500;1885;27960;27200;1422
20;22700;8000;45120;27380;1960;27380;26600;1433
20;24450;8280;45120;26500;1965;27320;26700;1427
20;24800;7850;45120;26220;1915;27980;27000;1412
20;25850;7780;45120;26000;1895;27260;26200;1388
20;24450;7720;45120;26000;1850;27320;26520;1381
20;26950;7630;45120;25720;1880;27000;26400;1376
19;28350;7550;45120;26280;1850;27160;26500;1376
19;29900;7600;45120;25900;1870;27380;26500;1377
19;31250;7730;45120;26140;1930;27400;26480;1388
19;29000;8060;45120;26920;1950;27700;26900;1412
20;28750;7960;45120;27080;2010;28000;27020;1423
20;29400;7800;45120;27240;2035;28560;27520;1426
20;31450;8000;45120;26800;2030;28580;27480;1424
20;32350;7840;45120;26000;1975;28340;27340;1408
19;31250;7740;45120;25980;1965;28420;27460;1408
19;34500;7500;43500;25620;1955;28880;27460;1389
19;34950;7570;43500;26180;2080;28420;26680;1408
20;38350;7760;45000;27000;2305;28220;26960;1436
20;36000;7970;45000;27280;2190;27940;26800;1428
19;37700;8020;45000;26900;2230;27940;26900;1434
19;35650;8120;51000;27000;2215;28000;26980;1437
19;32600;7930;51000;26100;2220;27640;26700;1426
19;29950;7700;51000;25580;2090;27560;26320;1403
19;29300;7690;51000;25300;2070;27300;26280;1382
19;30300;7730;51000;25300;2125;26660;25600;1381
19;31000;7900;51000;25500;2200;26760;25760;1398
19;31000;7950;51000;25500;2185;26680;25440;1399
19;30500;7960;51000;25700;2195;26480;25380;1397
19;29800;7900;49000;25700;2190;26620;25460;1398
19;29700;7810;51000;25400;2150;26600;25500;1387
19;29000;7810;52500;24720;2110;26400;25380;1369
19;27250;7880;52540;25000;2140;26460;25460;1376
19;27050;7870;52540;25200;2150;26000;25200;1365
19;28250;7820;52540;25380;2145;25960;24800;1363
19;27350;7870;52540;26100;2090;25940;24740;1362
19;27600;7810;52540;26400;2085;25800;25080;1368
19;29050;7760;52620;26200;2005;25400;24440;1343
19;30250;7650;52620;26480;1895;25480;24460;1317
18;31000;7660;52620;26220;1920;25300;24340;1322
19;29750;7660;52620;25380;1905;25000;24000;1312
18;28500;7450;52620;25100;1875;24200;23300;1280
18;27250;7600;52620;25100;1800;23800;23000;1258
17;24750;7450;52620;23760;1820;24060;23300;1250
17;26000;7300;52620;23580;1850;24160;22300;1250
17;27050;7360;52620;24260;1875;24620;23400;1270
17;27200;7390;52620;25500;1880;25180;23860;1282
17;26300;7400;52620;25940;1870;25600;24680;1288
18;28700;7450;52540;26000;1905;25600;24700;1289
18;32000;7510;52540;26480;1925;26100;25100;1305
18;30850;7410;52500;26480;1870;25940;25300;1297
17;31500;7380;52500;25600;1975;25500;25100;1292
18;32300;7410;52500;26460;1935;24360;23360;1285
18;31700;7400;53020;26600;1965;25100;24480;1298
18;30700;7420;53020;26500;1995;24980;23980;1300
18;29800;7400;53020;26000;1970;24800;23800;1295
18;29500;7400;53020;25500;1970;25060;23880;1297
18;29550;7430;53020;25300;1975;25400;24500;1305
18;31250;7660;53020;25860;2000;26000;24400;1330
18;31800;7730;53020;26400;2065;26300;25340;1351
19;32350;7740;53020;26400;2065;25940;25000;1356
19;31500;7800;53020;26900;2015;25800;24800;1345
19;32250;7880;53020;26940;2035;25980;25040;1348
19;32200;7850;53020;26460;2020;25960;24980;1348
19;32300;7900;53020;26400;2030;26360;25380;1357
19;34300;7950;53000;26260;2045;26680;25560;1359
19;36500;7870;53060;26400;2070;26580;25400;1363
20;36300;7960;53060;26900;2085;26400;25240;1367
19;36250;7970;53060;26940;2060;26280;25220;1364
19;35350;7970;53060;26140;2020;26080;25100;1348
19;35050;7950;53060;26160;1985;25920;24900;1330
19;35900;7940;53060;26340;2015;26500;25500;1347
20;37400;8080;52580;26720;2035;26900;25960;1358
20;36700;8100;53560;26840;2060;27400;26500;1374
20;36850;8300;53560;27180;2075;27560;26600;1392
21;37400;8360;53560;27720;2050;27760;26920;1412
21;37900;8290;53560;27720;2040;27460;26400;1406
21;39050;8000;53560;27700;2030;26060;25200;1396
21;38500;8110;53560;27140;2035;27100;25960;1401
21;37600;8400;53800;27580;2065;27480;26200;1418
21;36100;8400;53800;27600;2070;27240;25960;1411
20;35000;8120;54900;27060;1990;26920;25760;1378
20;34900;8170;54900;26700;1940;26760;25680;1367
20;34600;8080;55000;26960;1900;27220;26000;1366
20;33900;8130;55000;27000;1900;27180;25980;1362
20;33250;8060;55000;26900;1945;27220;26040;1358
20;32350;8020;55000;26600;1965;27360;26140;1361
20;31200;8050;55000;26600;1965;27440;26180;1357
20;28400;8190;55380;26700;1875;27900;26580;1369
20;30150;8220;55420;26120;1905;27900;26660;1363
20;31400;8200;55420;26100;1930;27300;26020;1357
