Fecha;RENTABILIDAD
18.04.2024;11,36
17.04.2024;11,25
16.04.2024;11,52
15.04.2024;11,225
14.04.2024;10,994
13.04.2024;10,994
12.04.2024;10,994
11.04.2024;11,075
10.04.2024;11,12
09.04.2024;10,7
08.04.2024;10,715
07.04.2024;10,469
06.04.2024;10,469
05.04.2024;10,469
04.04.2024;10,453
03.04.2024;10,53
02.04.2024;10,67
01.04.2024;10,639
28.03.2024;10,436
27.03.2024;10,436
26.03.2024;10,45
25.03.2024;10,322
24.03.2024;10,322
23.03.2024;10,322
22.03.2024;10,322
21.03.2024;10,3
20.03.2024;10,37
19.03.2024;10,314
18.03.2024;10,51
17.03.2024;10,419
16.03.2024;10,419
15.03.2024;10,419
14.03.2024;10,375
13.03.2024;10,296
12.03.2024;10,296
11.03.2024;10,24
10.03.2024;10,156
09.03.2024;10,156
08.03.2024;10,156
07.03.2024;10,1
06.03.2024;10,15
05.03.2024;10,14
04.03.2024;10,16
03.03.2024;10,09
02.03.2024;10,09
01.03.2024;10,09
29.02.2024;10,14
28.02.2024;10,165
27.02.2024;10,222
26.02.2024;10,149
25.02.2024;10,079
24.02.2024;10,079
23.02.2024;10,079
22.02.2024;10,004
21.02.2024;10,02
20.02.2024;9,934
19.02.2024;9,96
18.02.2024;9,895
17.02.2024;9,895
16.02.2024;9,895
15.02.2024;9,862
14.02.2024;9,938
13.02.2024;10,071
12.02.2024;9,926
11.02.2024;9,929
10.02.2024;9,929
09.02.2024;9,929
08.02.2024;9,936
07.02.2024;9,951
06.02.2024;9,85
05.02.2024;10,216
04.02.2024;10,023
03.02.2024;10,023
02.02.2024;10,023
01.02.2024;9,744
31.01.2024;9,682
30.01.2024;9,835
29.01.2024;9,888
28.01.2024;9,896
27.01.2024;9,896
26.01.2024;9,896
25.01.2024;9,826
24.01.2024;9,85
23.01.2024;9,889
22.01.2024;9,86
21.01.2024;9,955
20.01.2024;9,955
19.01.2024;9,955
18.01.2024;9,89
17.01.2024;9,85
16.01.2024;9,79
15.01.2024;9,662
14.01.2024;9,81
13.01.2024;9,81
12.01.2024;9,81
11.01.2024;9,83
10.01.2024;9,953
09.01.2024;10,122
08.01.2024;10,28
07.01.2024;10,28
06.01.2024;10,28
05.01.2024;10,259
04.01.2024;10,28
03.01.2024;10,309
02.01.2024;10,22
29.12.2023;10,111
28.12.2023;10,111
27.12.2023;10,105
26.12.2023;10,159
25.12.2023;10,174
24.12.2023;10,174
23.12.2023;10,174
22.12.2023;10,174
21.12.2023;10,2
20.12.2023;10,23
19.12.2023;10,31
18.12.2023;10,42
17.12.2023;10,529
16.12.2023;10,529
15.12.2023;10,529
14.12.2023;10,501
13.12.2023;10,78
12.12.2023;10,935
11.12.2023;10,947
08.12.2023;10,8
07.12.2023;10,8
06.12.2023;10,7
